id,name,state,status,latitude,longitude
1,Akron,AL,verified,32.87802,-87.743989
2,Huntsville,AL,verified,34.729135,-86.584979
3,Addison,AL,verified,34.202175,-87.181384
4,Montgomery,AL,verified,32.38012,-86.300629
5,Birmingham,AL,verified,33.520295,-86.811504
6,Somerville,AL,verified,34.471155,-86.799394
7,Albertville,AL,verified,34.269515,-86.207944
8,Alexander City,AL,verified,32.938845,-85.95295
9,Alexandria,AL,verified,33.76698,-85.892347
10,Aliceville,AL,verified,33.12943,-88.153104
11,Irvington,AL,verified,30.514973,-88.222122
12,Andalusia,AL,verified,31.319599,-86.495424
13,Anniston,AL,verified,33.65711,-85.819449
14,Oneonta,AL,verified,33.948315,-86.472939
15,Arab,AL,verified,34.322876,-86.49535
16,Ashford,AL,verified,31.187665,-85.234823
17,Ashville,AL,verified,33.83651,-86.254749
18,Athens,AL,verified,34.8045,-86.971279
19,Auburn,AL,verified,32.607465,-85.481735
20,Prattville,AL,verified,32.461855,-86.450749
21,Decatur,AL,verified,34.607389,-86.979767
22,Mobile,AL,verified,30.686395,-88.053239
23,Bay Minette,AL,verified,30.882904,-87.773568
24,Clayton,AL,verified,31.878775,-85.449644
25,Opelika,AL,verified,32.6505,-85.380649
26,Berry,AL,verified,33.660343,-87.600082
27,Valley,AL,verified,32.843965,-85.180929
28,West Blocton,AL,verified,33.115377,-87.118992
29,Centreville,AL,verified,32.94488,-87.134714
30,Cleveland,AL,verified,33.991515,-86.577049
31,Eight Mile,AL,verified,30.775282,-88.177529
32,Boaz,AL,verified,34.19763,-86.165596
33,Madison,AL,verified,34.705885,-86.750953
34,Tuskegee,AL,verified,32.424055,-85.689779
35,Florence,AL,verified,34.800465,-87.675254
36,Brantley,AL,verified,31.58243,-86.256884
37,Sylacauga,AL,verified,33.171565,-86.250254
38,Killen,AL,verified,34.859229,-87.529569
39,Brookwood,AL,verified,33.25432,-87.326719
40,New Market,AL,verified,34.909465,-86.427789
41,Union Springs,AL,verified,32.146145,-85.712674
42,Hunstville,AL,verified,32.61436,-86.680737
43,Letohatchee,AL,verified,32.052205,-86.547334
44,Carbon Hill,AL,verified,33.88848,-87.528889
45,Ozark,AL,verified,31.458955,-85.640714
46,Cedar Bluff,AL,verified,34.217656,-85.607709
47,Tuscaloosa,AL,verified,33.210435,-87.566214
48,Rockford,AL,verified,32.889938,-86.21917
49,Phenix City,AL,verified,32.46764,-85.000823
